Device: mps
Base model: models/base
Loaded 6657 tokenized examples
Train: 6325, Val: 332
Loading models/base...
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/288 [00:00<?, ?it/s]Loading weights: 100%|██████████| 288/288 [00:00<00:00, 6445.85it/s]
Trainable: 20,766,720 / 2,635,108,608 (0.79%)

Training: epochs 1 -> 3, 2370 steps, batch=1x8, lr=0.0002
Starting val_loss=2.7818 ppl=16.15
step  1440/2370 | train_loss 1.1696 | val_loss 1.7154 | lr 8.49e-05 | 5.65s/step | 146.3min
step  1460/2370 | train_loss 1.1604 | val_loss 1.7053 | lr 8.25e-05 | 5.75s/step | 148.2min
step  1480/2370 | train_loss 1.2019 | val_loss 1.7032 | lr 8.02e-05 | 5.82s/step | 150.2min
step  1500/2370 | train_loss 1.1173 | val_loss 1.7091 | lr 7.78e-05 | 5.79s/step | 152.1min
step  1520/2370 | train_loss 1.2846 | val_loss 1.6942 | lr 7.55e-05 | 5.80s/step | 154.0min
step  1540/2370 | train_loss 1.2535 | val_loss 1.6933 | lr 7.32e-05 | 5.79s/step | 156.0min
step  1560/2370 | train_loss 1.1296 | val_loss 1.7075 | lr 7.10e-05 | 5.63s/step | 157.9min
step  1580/2370 | train_loss 1.1567 | val_loss 1.7021 | lr 6.88e-05 | 5.65s/step | 159.7min
  [epoch 2] train_loss=1.1922 val_loss=1.7020 ppl=5.48 - | 160.8min
  [ckpt] saved epoch 2 to models/sft_local/checkpoints/epoch_02
step  1600/2370 | train_loss 0.7442 | val_loss 2.0199 | lr 6.66e-05 | 8.77s/step | 162.7min
step  1620/2370 | train_loss 0.6648 | val_loss 1.9305 | lr 6.44e-05 | 5.66s/step | 164.5min
step  1640/2370 | train_loss 0.7768 | val_loss 1.9527 | lr 6.23e-05 | 5.79s/step | 166.5min
step  1660/2370 | train_loss 0.7040 | val_loss 1.9858 | lr 6.02e-05 | 5.76s/step | 168.4min
step  1680/2370 | train_loss 0.7922 | val_loss 1.9625 | lr 5.81e-05 | 5.78s/step | 170.3min
step  1700/2370 | train_loss 0.7844 | val_loss 1.9346 | lr 5.61e-05 | 5.75s/step | 172.2min
step  1720/2370 | train_loss 0.7982 | val_loss 1.9829 | lr 5.41e-05 | 5.79s/step | 174.2min
step  1740/2370 | train_loss 0.7494 | val_loss 1.9673 | lr 5.22e-05 | 5.77s/step | 176.1min
step  1760/2370 | train_loss 0.7586 | val_loss 2.0045 | lr 5.03e-05 | 5.77s/step | 178.0min
step  1780/2370 | train_loss 0.7716 | val_loss 2.0311 | lr 4.85e-05 | 5.83s/step | 180.0min
step  1800/2370 | train_loss 0.8146 | val_loss 1.9666 | lr 4.67e-05 | 5.73s/step | 181.9min
step  1820/2370 | train_loss 0.7056 | val_loss 1.9972 | lr 4.49e-05 | 5.73s/step | 183.8min
step  1840/2370 | train_loss 0.7017 | val_loss 1.9911 | lr 4.32e-05 | 5.69s/step | 185.7min
step  1860/2370 | train_loss 0.7135 | val_loss 1.9852 | lr 4.16e-05 | 5.68s/step | 187.6min
step  1880/2370 | train_loss 0.7993 | val_loss 1.9727 | lr 4.00e-05 | 5.81s/step | 189.5min
step  1900/2370 | train_loss 0.7978 | val_loss 2.0106 | lr 3.85e-05 | 5.81s/step | 191.4min
step  1920/2370 | train_loss 0.7252 | val_loss 1.9842 | lr 3.70e-05 | 5.77s/step | 193.4min
step  1940/2370 | train_loss 0.6751 | val_loss 2.0139 | lr 3.55e-05 | 5.82s/step | 195.3min
step  1960/2370 | train_loss 0.7025 | val_loss 1.9916 | lr 3.42e-05 | 5.75s/step | 197.2min
step  1980/2370 | train_loss 0.7841 | val_loss 1.9979 | lr 3.29e-05 | 5.83s/step | 199.2min
step  2000/2370 | train_loss 0.8228 | val_loss 1.9680 | lr 3.16e-05 | 5.76s/step | 201.1min
step  2020/2370 | train_loss 0.7426 | val_loss 1.9907 | lr 3.04e-05 | 5.86s/step | 203.0min
step  2040/2370 | train_loss 0.7400 | val_loss 1.9927 | lr 2.93e-05 | 5.73s/step | 204.9min
step  2060/2370 | train_loss 0.6882 | val_loss 2.0084 | lr 2.82e-05 | 5.68s/step | 206.8min
step  2080/2370 | train_loss 0.8259 | val_loss 1.9760 | lr 2.72e-05 | 5.76s/step | 208.8min
step  2100/2370 | train_loss 0.8154 | val_loss 1.9648 | lr 2.63e-05 | 5.70s/step | 210.7min
step  2120/2370 | train_loss 0.7215 | val_loss 1.9828 | lr 2.54e-05 | 5.73s/step | 212.6min
step  2140/2370 | train_loss 0.6957 | val_loss 2.0042 | lr 2.46e-05 | 5.80s/step | 214.5min
step  2160/2370 | train_loss 0.8300 | val_loss 1.9888 | lr 2.38e-05 | 5.76s/step | 216.4min
step  2180/2370 | train_loss 0.7745 | val_loss 1.9968 | lr 2.31e-05 | 5.75s/step | 218.3min
step  2200/2370 | train_loss 0.7345 | val_loss 2.0269 | lr 2.25e-05 | 5.73s/step | 220.3min
step  2220/2370 | train_loss 0.7803 | val_loss 2.0101 | lr 2.20e-05 | 5.77s/step | 222.2min
step  2240/2370 | train_loss 0.7392 | val_loss 2.0089 | lr 2.15e-05 | 5.72s/step | 224.1min
step  2260/2370 | train_loss 0.7352 | val_loss 2.0250 | lr 2.11e-05 | 5.77s/step | 226.0min
step  2280/2370 | train_loss 0.7977 | val_loss 1.9892 | lr 2.07e-05 | 5.80s/step | 227.9min
step  2300/2370 | train_loss 0.7331 | val_loss 1.9924 | lr 2.04e-05 | 5.81s/step | 229.9min
step  2320/2370 | train_loss 0.6808 | val_loss 2.0039 | lr 2.02e-05 | 5.71s/step | 231.8min
step  2340/2370 | train_loss 0.6720 | val_loss 2.0082 | lr 2.01e-05 | 5.70s/step | 233.7min
step  2360/2370 | train_loss 0.6867 | val_loss 2.0156 | lr 2.00e-05 | 5.73s/step | 235.6min
  [epoch 3] train_loss=0.7489 val_loss=2.0131 ppl=7.49 - | 237.1min
  [ckpt] saved epoch 3 to models/sft_local/checkpoints/epoch_03

Done! 2371 steps in 238.1min
Final val_loss=2.0131 ppl=7.49
Best val_loss=1.6730 ppl=5.33

Checkpoints: models/sft_local/checkpoints/
Best model: models/sft_local/adapter/
Perplexity log: models/sft_local/perplexity_log.jsonl
